# tracer: nop
#
# entries-in-buffer/entries-written: 6122/6122   #P:32
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          crosvm-96477   [028] ..... 16634.443789: pkvmdma_host_enable_cap: (pkvm_vm_ioctl_enable_cap+0x0/0x170)
          crosvm-96477   [028] ..... 16634.445819: pkvmdma_host_enable_cap: (pkvm_vm_ioctl_enable_cap+0x0/0x170)
          crosvm-96477   [028] ..... 16634.445820: pkvmdma_host_meta_enter: (pkvm_vm_ioctl_set_ptdev_mmio_metadata+0x0/0x3e0)
          crosvm-96477   [028] ..... 16634.457560: pkvmdma_host_enable_cap: (pkvm_vm_ioctl_enable_cap+0x0/0x170)
    crosvm_vcpu0-96568   [010] ..... 16643.080402: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16643.080461: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16643.080520: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16643.080566: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16643.080616: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16643.080663: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16643.080711: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16643.080761: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16643.080814: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16643.080862: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954603: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954653: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954689: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954723: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954796: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954830: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954865: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954899: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954933: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.954967: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.955002: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.955036: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
